,TF-IDF (Lemmatized),TF-IDF (Stemmed),Lemmatized CBOW Win2 Dim100,Lemmatized CBOW Win2 Dim300,Lemmatized CBOW Win4 Dim100,Lemmatized CBOW Win4 Dim300,Lemmatized Skipgram Win2 Dim100,Lemmatized Skipgram Win2 Dim300,Lemmatized Skipgram Win4 Dim100,Lemmatized Skipgram Win4 Dim300,Stemmed CBOW Win2 Dim100,Stemmed CBOW Win2 Dim300,Stemmed CBOW Win4 Dim100,Stemmed CBOW Win4 Dim300,Stemmed Skipgram Win2 Dim100,Stemmed Skipgram Win2 Dim300,Stemmed Skipgram Win4 Dim100,Stemmed Skipgram Win4 Dim300
TF-IDF (Lemmatized),1.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.1111,0.1111,0.1111,0.0000,0.1111,0.1111,0.2500,0.2500,0.2500,0.2500
TF-IDF (Stemmed),0.2500,1.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0000,0.1111,0.1111,0.2500,0.2500,0.2500,0.2500
Lemmatized CBOW Win2 Dim100,0.2500,0.1111,1.0000,0.6667,1.0000,0.6667,0.6667,0.6667,0.4286,0.4286,0.0000,0.1111,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
Lemmatized CBOW Win2 Dim300,0.2500,0.1111,0.6667,1.0000,0.6667,1.0000,0.6667,0.6667,0.4286,0.4286,0.1111,0.1111,0.0000,0.0000,0.4286,0.4286,0.2500,0.2500
Lemmatized CBOW Win4 Dim100,0.2500,0.1111,1.0000,0.6667,1.0000,0.6667,0.6667,0.6667,0.4286,0.4286,0.0000,0.1111,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
Lemmatized CBOW Win4 Dim300,0.2500,0.1111,0.6667,1.0000,0.6667,1.0000,0.6667,0.6667,0.4286,0.4286,0.1111,0.1111,0.0000,0.0000,0.4286,0.4286,0.2500,0.2500
Lemmatized Skipgram Win2 Dim100,0.2500,0.1111,0.6667,0.6667,0.6667,0.6667,1.0000,1.0000,0.6667,0.6667,0.1111,0.1111,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286
Lemmatized Skipgram Win2 Dim300,0.2500,0.1111,0.6667,0.6667,0.6667,0.6667,1.0000,1.0000,0.6667,0.6667,0.1111,0.1111,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286
Lemmatized Skipgram Win4 Dim100,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286,0.6667,0.6667,1.0000,1.0000,0.1111,0.1111,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286
Lemmatized Skipgram Win4 Dim300,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286,0.6667,0.6667,1.0000,1.0000,0.1111,0.1111,0.1111,0.1111,0.4286,0.4286,0.4286,0.4286
Stemmed CBOW Win2 Dim100,0.1111,0.1111,0.0000,0.1111,0.0000,0.1111,0.1111,0.1111,0.1111,0.1111,1.0000,0.2500,0.6667,0.6667,0.4286,0.4286,0.2500,0.2500
Stemmed CBOW Win2 Dim300,0.0000,0.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.2500,1.0000,0.2500,0.2500,0.2500,0.2500,0.1111,0.1111
Stemmed CBOW Win4 Dim100,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.1111,0.6667,0.2500,1.0000,1.0000,0.2500,0.2500,0.2500,0.2500
Stemmed CBOW Win4 Dim300,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.1111,0.6667,0.2500,1.0000,1.0000,0.2500,0.2500,0.2500,0.2500
Stemmed Skipgram Win2 Dim100,0.2500,0.2500,0.2500,0.4286,0.2500,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.2500,0.2500,0.2500,1.0000,1.0000,0.6667,0.6667
Stemmed Skipgram Win2 Dim300,0.2500,0.2500,0.2500,0.4286,0.2500,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.2500,0.2500,0.2500,1.0000,1.0000,0.6667,0.6667
Stemmed Skipgram Win4 Dim100,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.4286,0.4286,0.4286,0.4286,0.2500,0.1111,0.2500,0.2500,0.6667,0.6667,1.0000,1.0000
Stemmed Skipgram Win4 Dim300,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.4286,0.4286,0.4286,0.4286,0.2500,0.1111,0.2500,0.2500,0.6667,0.6667,1.0000,1.0000
